issue_type,file_path,line_number,message
warning,lib\ui\pages\ajukan_buka_toko_page.dart:9,8,Unused import: '../widgets/custom_detail_profile.dart'
info,lib\ui\pages\ajukan_buka_toko_page.dart:17,3,Constructors for public widgets should have a named 'key' parameter
info,lib\ui\pages\ajukan_buka_toko_page.dart:47,26,Use 'const' with the constructor to improve performance
info,lib\ui\pages\ajukan_buka_toko_page.dart:48,28,Use 'const' with the constructor to improve performance
info,lib\ui\pages\ajukan_buka_toko_page.dart:64,41,Use 'const' with the constructor to improve performance
info,lib\ui\pages\ajukan_buka_toko_page.dart:76,28,Use 'const' with the constructor to improve performance
info,lib\ui\pages\ajukan_buka_toko_page.dart:83,32,Use 'const' with the constructor to improve performance
warning,lib\ui\pages\ajukan_buka_toko_page.dart:110,44,"This function has a nullable return type of 'String?', but ends without returning a value"
warning,lib\ui\pages\ajukan_buka_toko_page.dart:117,44,"This function has a nullable return type of 'String?', but ends without returning a value"
warning,lib\ui\pages\ajukan_buka_toko_page.dart:124,44,"This function has a nullable return type of 'String?', but ends without returning a value"
warning,lib\ui\pages\ajukan_buka_toko_page.dart:131,44,"This function has a nullable return type of 'String?', but ends without returning a value"
warning,lib\ui\pages\ajukan_buka_toko_page.dart:138,44,"This function has a nullable return type of 'String?', but ends without returning a value"
warning,lib\ui\pages\ajukan_buka_toko_page.dart:145,44,"This function has a nullable return type of 'String?', but ends without returning a value"
info,lib\ui\pages\ajukan_buka_toko_page.dart:165,29,Don't invoke 'print' in production code
info,lib\ui\pages\ajukan_dokter.dart:12,9,Constructors for public widgets should have a named 'key' parameter
warning,lib\ui\pages\ajukan_dokter.dart:40,42,"This function has a nullable return type of 'String?', but ends without returning a value"
warning,lib\ui\pages\ajukan_dokter.dart:47,42,"This function has a nullable return type of 'String?', but ends without returning a value"
warning,lib\ui\pages\ajukan_dokter.dart:54,42,"This function has a nullable return type of 'String?', but ends without returning a value"
warning,lib\ui\pages\ajukan_dokter.dart:61,42,"This function has a nullable return type of 'String?', but ends without returning a value"
warning,lib\ui\pages\ajukan_dokter.dart:68,42,"This function has a nullable return type of 'String?', but ends without returning a value"
warning,lib\ui\pages\ajukan_dokter.dart:75,42,"This function has a nullable return type of 'String?', but ends without returning a value"
info,lib\ui\pages\cart_page.dart:13,3,Invalid use of a private type in a public API
info,lib\ui\pages\cart_page.dart:56,21,Use 'const' with the constructor to improve performance
info,lib\ui\pages\cart_page.dart:67,26,Use 'const' with the constructor to improve performance
info,lib\ui\pages\cart_page.dart:86,43,Use 'const' with the constructor to improve performance
info,lib\ui\pages\cart_page.dart:87,42,Use 'const' with the constructor to improve performance
info,lib\ui\pages\cart_page.dart:88,46,Use 'const' with the constructor to improve performance
info,lib\ui\pages\cart_page.dart:91,29,Use 'const' with the constructor to improve performance
info,lib\ui\pages\cart_page.dart:102,25,Use 'const' with the constructor to improve performance
info,lib\ui\pages\cart_page.dart:132,29,Use 'const' with the constructor to improve performance
info,lib\ui\pages\cart_page.dart:158,29,Use 'const' with the constructor to improve performance
info,lib\ui\pages\cart_page.dart:215,20,Use 'const' with the constructor to improve performance
info,lib\ui\pages\cart_page.dart:235,15,Use 'const' with the constructor to improve performance
info,lib\ui\pages\cart_page.dart:266,13,Use 'const' with the constructor to improve performance
info,lib\ui\pages\cart_page.dart:330,13,Use 'const' with the constructor to improve performance
info,lib\ui\pages\cart_page.dart:343,32,Use 'const' with the constructor to improve performance
info,lib\ui\pages\cart_page.dart:353,37,Use 'const' with the constructor to improve performance
info,lib\ui\pages\cart_page.dart:354,34,Use 'const' with the constructor to improve performance
info,lib\ui\pages\cart_page.dart:356,36,Use 'const' with the constructor to improve performance
info,lib\ui\pages\cart_page.dart:362,21,Use a 'SizedBox' to add whitespace to a layout
info,lib\ui\pages\cart_page.dart:398,17,Use a 'SizedBox' to add whitespace to a layout
info,lib\ui\pages\cart_page.dart:406,31,Use 'const' with the constructor to improve performance
info,lib\ui\pages\cart_page.dart:417,31,Use 'const' with the constructor to improve performance
warning,lib\ui\pages\chat_page.dart:1,8,Unused import: 'package:firebase_auth/firebase_auth.dart'
warning,lib\ui\pages\chat_page.dart:5,8,Unused import: 'package:ngepet_id/models/consultation_models.dart'
info,lib\ui\pages\chat_page.dart:36,7,Don't use 'BuildContext's across async gaps
info,lib\ui\pages\chat_page.dart:37,7,Don't use 'BuildContext's across async gaps
info,lib\ui\pages\chat_page.dart:94,48,Use 'const' with the constructor to improve performance
info,lib\ui\pages\chat_page.dart:131,31,Don't invoke 'print' in production code
info,lib\ui\pages\chat_page.dart:132,38,Use 'const' with the constructor to improve performance
info,lib\ui\pages\chat_page.dart:133,40,Use 'const' with the constructor to improve performance
info,lib\ui\pages\chatting_page.dart:11,3,Constructors for public widgets should have a named 'key' parameter
info,lib\ui\pages\chatting_page.dart:11,3,Constructors in '@immutable' classes should be declared as 'const'
info,lib\ui\pages\chatting_page.dart:14,3,Invalid use of a private type in a public API
info,lib\ui\pages\chatting_page.dart:24,16,Use 'const' with the constructor to improve performance
info,lib\ui\pages\chatting_page.dart:36,22,Use 'const' with the constructor to improve performance
info,lib\ui\pages\chatting_page.dart:37,26,Use 'const' with the constructor to improve performance
info,lib\ui\pages\chatting_page.dart:43,25,Use 'const' with the constructor to improve performance
info,lib\ui\pages\chatting_page.dart:44,21,Use 'const' with the constructor to improve performance
info,lib\ui\pages\chatting_page.dart:54,33,Use 'const' with the constructor to improve performance
info,lib\ui\pages\chatting_page.dart:60,25,Use 'const' with the constructor to improve performance
info,lib\ui\pages\chatting_page.dart:61,21,Use 'const' with the constructor to improve performance
info,lib\ui\pages\chatting_page.dart:86,17,Use 'const' with the constructor to improve performance
info,lib\ui\pages\chatting_page.dart:87,18,Use 'const' with the constructor to improve performance
info,lib\ui\pages\chatting_page.dart:101,13,Use 'const' with the constructor to improve performance
info,lib\ui\pages\custom_appbar_chat.dart:17,17,Use 'const' with the constructor to improve performance
info,lib\ui\pages\custom_appbar_chat.dart:18,13,Use 'const' with the constructor to improve performance
info,lib\ui\pages\custom_appbar_chat.dart:35,19,Use 'const' with the constructor to improve performance
info,lib\ui\pages\custom_appbar_chat.dart:46,29,Use 'const' with the constructor to improve performance
warning,lib\ui\pages\dashboard_page.dart:5,8,Unused import: 'package:ngepet_id/cubit/store_cubit.dart'
info,lib\ui\pages\dashboard_page.dart:144,26,Use 'const' with the constructor to improve performance
info,lib\ui\pages\dashboard_page.dart:145,28,Use 'const' with the constructor to improve performance
info,lib\ui\pages\dashboard_page.dart:186,22,Use 'const' with the constructor to improve performance
info,lib\ui\pages\dashboard_page.dart:268,9,Use 'const' with the constructor to improve performance
info,lib\ui\pages\dashboard_page.dart:349,9,Use 'const' with the constructor to improve performance
info,lib\ui\pages\katalog_page.dart:11,3,Constructors for public widgets should have a named 'key' parameter
info,lib\ui\pages\katalog_page.dart:11,3,Constructors in '@immutable' classes should be declared as 'const'
info,lib\ui\pages\katalog_page.dart:14,3,Invalid use of a private type in a public API
info,lib\ui\pages\katalog_page.dart:26,25,The private field _searchController could be 'final'
info,lib\ui\pages\katalog_page.dart:73,29,Use 'const' with the constructor to improve performance
info,lib\ui\pages\katalog_page.dart:77,40,Use 'const' with the constructor to improve performance
info,lib\ui\pages\katalog_page.dart:79,35,Use 'const' with the constructor to improve performance
info,lib\ui\pages\katalog_page.dart:100,39,Don't invoke 'print' in production code
info,lib\ui\pages\katalog_page.dart:108,44,Use 'const' with the constructor to improve performance
info,lib\ui\pages\katalog_page.dart:109,46,Use 'const' with the constructor to improve performance
info,lib\ui\pages\katalog_page.dart:126,29,Use 'const' with the constructor to improve performance
info,lib\ui\pages\katalog_page.dart:133,46,Use 'const' with the constructor to improve performance
info,lib\ui\pages\katalog_page.dart:135,41,Use 'const' with the constructor to improve performance
info,lib\ui\pages\katalog_page.dart:153,42,Use 'const' with the constructor to improve performance
info,lib\ui\pages\katalog_page.dart:154,46,Use 'const' with the constructor to improve performance
info,lib\ui\pages\katalog_page.dart:161,21,Use 'const' with the constructor to improve performance
info,lib\ui\pages\login_page.dart:10,3,Constructors for public widgets should have a named 'key' parameter
warning,lib\ui\pages\login_page.dart:48,38,"This function has a nullable return type of 'String?', but ends without returning a value"
info,lib\ui\pages\login_page.dart:58,17,Use 'const' with the constructor to improve performance
warning,lib\ui\pages\login_page.dart:66,38,"This function has a nullable return type of 'String?', but ends without returning a value"
info,lib\ui\pages\login_page.dart:126,32,Use 'const' with the constructor to improve performance
info,lib\ui\pages\login_page.dart:127,34,Use 'const' with the constructor to improve performance
info,lib\ui\pages\main_page.dart:55,18,Use 'const' with the constructor to improve performance
info,lib\ui\pages\main_page.dart:57,23,Use 'const' literals as arguments to constructors of '@immutable' classes
info,lib\ui\pages\main_page.dart:58,15,Use 'const' with the constructor to improve performance
info,lib\ui\pages\main_page.dart:62,15,Use 'const' with the constructor to improve performance
info,lib\ui\pages\main_page.dart:66,15,Use 'const' with the constructor to improve performance
info,lib\ui\pages\main_page.dart:70,15,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pembayaran_page.dart:72,13,Use 'const' with the constructor to improve performance
info,lib\ui\pages\pencarian_page.dart:11,3,Constructors for public widgets should have a named 'key' parameter
